date,description,amount,currency,category,account
2024-01-01,Salary,2600.00,EUR,Income,Main
2024-01-02,Rent,-950.00,EUR,Housing,Main
2024-01-03,S-Market,-67.49,EUR,Groceries,Main
2024-01-05,Pharmacy,-11.44,EUR,Health,Main
2024-01-09,HSL,-10.20,EUR,Transport,Main
2024-01-10,K-Market,-25.20,EUR,Groceries,Main
2024-01-11,HSL,-2.61,EUR,Transport,Main
2024-01-12,VR,-23.51,EUR,Transport,Main
2024-01-13,Pharmacy,-29.48,EUR,Health,Main
2024-01-15,Netflix,-10.78,EUR,Subscriptions,Main
2024-01-16,Wolt,-13.97,EUR,Eating Out,Main
2024-01-18,Spotify,-12.44,EUR,Subscriptions,Main
2024-01-19,Gym,-34.46,EUR,Health,Main
2024-01-20,Internet,-22.32,EUR,Utilities,Main
2024-01-21,Netflix,-15.84,EUR,Subscriptions,Main
2024-01-23,S-Market,-45.84,EUR,Groceries,Main
2024-01-26,Spotify,-7.27,EUR,Subscriptions,Main
2024-01-27,Wolt,-38.04,EUR,Eating Out,Main
2024-01-28,Netflix,-14.75,EUR,Subscriptions,Main
2024-01-28,Wolt,-38.30,EUR,Eating Out,Main
2024-02-01,Salary,2600.00,EUR,Income,Main
2024-02-01,S-Market,-14.25,EUR,Groceries,Main
2024-02-02,Rent,-950.00,EUR,Housing,Main
2024-02-02,Restaurant,-60.46,EUR,Eating Out,Main
2024-02-03,Electricity,-58.58,EUR,Utilities,Main
2024-02-04,Gym,-34.22,EUR,Health,Main
2024-02-04,Wolt,-15.86,EUR,Eating Out,Main
2024-02-06,Lidl,-46.39,EUR,Groceries,Main
2024-02-07,Gym,-23.22,EUR,Health,Main
2024-02-08,Pharmacy,-13.34,EUR,Health,Main
2024-02-10,Electricity,-61.53,EUR,Utilities,Main
2024-02-11,HSL,-3.96,EUR,Transport,Main
2024-02-15,Wolt,-18.02,EUR,Eating Out,Main
2024-02-18,Lidl,-43.91,EUR,Groceries,Main
2024-02-18,Pharmacy,-33.51,EUR,Health,Main
2024-02-19,Electricity,-25.40,EUR,Utilities,Main
2024-02-20,Internet,-43.56,EUR,Utilities,Main
2024-02-21,Pharmacy,-16.77,EUR,Health,Main
2024-02-22,S-Market,-43.71,EUR,Groceries,Main
2024-02-23,HSL,-2.88,EUR,Transport,Main
2024-02-24,Netflix,-14.81,EUR,Subscriptions,Main
